imdb_id,title,year_of_release,runtime,genres
tt0073707,Sholay,1975,198,Action|Adventure|Comedy
tt0246825,Om Dar-B-Dar,1988,101,Drama
tt0403935,Action Jackson,2014,144,Action|Thriller
tt0443331,Milenge Milenge,2010,109,Drama|Romance
tt0839742,Bhopal: A Prayer for Rain,2014,96,Drama
tt0988655,A Flat,2010,103,Drama|Horror|Romance
tt10017956,Gone Kesh,2019,110,Drama
tt10196464,Ramprasad Ki Tehrvi,\N,\N,Comedy|Drama
tt10324144,Article 15,2019,130,Crime|Drama
tt10443846,Yeh Saali Aashiqui,2019,\N,Thriller
tt10635372,Dee Saturday Night,2014,\N,Drama
tt10816510,P Se Pyaar F Se Faraar,2019,131,Crime|Drama|Romance
tt11007050,#Yaaram,2019,\N,Comedy|Romance
tt11046300,Ujda Chaman,2019,120,Comedy
tt1124386,Pankh,2010,98,Drama
tt1127220,Mr Bhatti on Chutti,2012,\N,Comedy
tt1172587,Delhi Safari,2012,96,Animation|Comedy|Drama
tt1182884,Dulha Mil Gaya,2010,152,Comedy|Drama|Romance
tt1183917,Teen Patti,2010,142,Crime|Drama|Thriller
tt1183944,Sadiyaan: Boundaries Divide... Love Unites,2010,200,Drama|Romance
tt1185412,Veer,2010,169,Action|Adventure|Drama
tt1188982,Jai Ho,2014,135,Action|Drama
tt1188996,My Name Is Khan,2010,165,Drama
tt1189006,Toonpur Ka Superrhero,2010,95,Action|Adventure|Animation
tt1191118,Hello Darling,2010,\N,Comedy|Drama
tt1191130,Right Yaaa Wrong,2010,135,Crime|Drama|Thriller
tt1194232,Jaane Kahan Se Aayi Hai,2010,94,Comedy|Drama|Fantasy
tt1194236,Paathshaala,2010,122,Drama|Family
tt1198101,Kites,2010,123,Action|Drama|Romance
tt1221147,Tera Kya Hoga Johnny,2009,155,Crime|Drama|Thriller
tt1227524,Aashayein,2010,120,Drama
tt1239276,Colours of Passion,2008,132,Biography|Drama|Romance
tt1244093,Hisss,2010,98,Comedy|Drama|Horror
tt1245732,Red Alert: The War Within,2009,120,Action|Drama|Thriller
tt1279105,Ramaa: The Saviour,2010,120,Action|Adventure|Drama
tt1285241,Don 2,2011,148,Action|Crime|Thriller
tt1285245,Lahore,2010,145,Action|Drama|Sport
tt1286766,Fatso!,2012,98,Comedy|Fantasy|Romance
tt1292642,People of Allah,2010,123,Action|Crime|Drama
tt1309561,Lamhaa: The Untold Story of Kashmir,2010,152,Action|Drama|Thriller
tt1319716,It's a Wonderful Afterlife,2010,100,Comedy|Drama|Fantasy
tt1322257,Jhootha Hi Sahi,2010,142,Comedy|Drama|Romance
tt1334470,Raavan,2010,130,Action|Adventure|Drama
tt1345777,Ishqiya,2010,118,Comedy|Drama|Romance
tt1351224,Pyaar Impossible!,2010,140,Comedy|Romance
tt1363125,Naughty @ 40,2011,108,Comedy|Drama
tt1363363,Chatur Singh Two Star,2011,150,Action|Adventure|Comedy
tt1368453,Chargesheet,2011,\N,Drama|Thriller
tt1373156,Karthik Calling Karthik,2010,135,Drama|Mystery|Thriller
tt1375789,Race 2,2013,150,Action|Crime|Thriller
tt1388903,Mirch,2010,105,Comedy|Drama|Fantasy
tt1392744,Chance Pe Dance,2010,122,Comedy|Drama|Music
tt1395025,Agent Vinod,2012,157,Action|Adventure|Thriller
tt1395054,Once Upon a Time in Mumbai,2010,134,Action|Crime|Drama
tt1396208,Action Replay,2010,129,Comedy|Romance|Sci-Fi
tt1397492,Well Done Abba!,2009,144,Comedy
tt1425618,Apartment: Rent at Your Own Risk,2010,97,Drama|Mystery|Thriller
tt1431122,No Problem,2010,139,Action|Comedy|Crime
tt1433810,Dhobi Ghat,2010,100,Drama
tt1437367,Thanks Maa,2009,120,Crime|Drama
tt1438298,Guzaarish,2010,126,Drama
tt1442583,Tum Milo Toh Sahi,2010,128,Comedy|Drama
tt1447508,Peepli (Live),2010,95,Comedy|Drama
tt1451797,Rann,2010,137,Drama|Mystery|Thriller
tt1455811,Khatta Meetha,2010,157,Comedy|Crime|Drama
tt1455816,Prince,2010,138,Action|Sci-Fi|Thriller
tt1465488,Happy Husbands,2011,134,Comedy|Drama
tt1465493,Hum Tum Aur Ghost,2010,125,Comedy|Drama|Fantasy
tt1471247,Road to Sangam,2010,135,Drama|Thriller
tt1499201,Anjaana Anjaani,2010,151,Comedy|Drama|Musical
tt1503640,Damadamm!,2011,122,Comedy|Drama|Romance
tt1512220,My Friend Pinto,2011,100,Comedy|Crime|Drama
tt1535467,Patiala House,2011,140,Drama|Sport
tt1558578,Knock Out,2010,117,Action|Crime|Drama
tt1562871,Ra.One,2011,156,Action|Adventure|Sci-Fi
tt1562872,Zindagi Na Milegi Dobara,2011,155,Comedy|Drama
tt1563732,5 Ghantey Mien 5 Crore,2012,111,Thriller
tt1572311,Tees Maar Khan,2010,135,Comedy|Crime
tt1573072,Housefull,2010,144,Comedy
tt1573482,Striker,2010,128,Action|Crime|Drama
tt1578261,Break Ke Baad,2010,118,Comedy|Drama|Romance
tt1594964,Chase,2010,103,Action|Crime|Drama
tt1596723,Click,2010,127,Drama|Horror|Mystery
tt1600439,Shaapit: The Cursed,2010,145,Adventure|Horror|Romance
tt1605778,Toh Baat Pakki!,2010,122,Comedy|Drama
tt1605790,Zokkomon,2011,109,Action|Adventure
tt1606162,Aakhari Decision,2010,\N,Action|Drama|Thriller
tt1606267,Lafangey Parindey,2010,126,Action|Drama|Romance
tt1607607,Mittal v/s Mittal,2010,\N,Drama
tt1608768,City of Gold - Mumbai 1982: Ek Ankahee Kahani,2010,145,Crime|Drama
tt1608777,LSD: Love Sex Aur Dhokha,2010,155,Comedy|Crime|Drama
tt1609147,Malik Ek,2010,\N,Biography|Drama|History
tt1610418,Prem Kaa Game,2010,\N,Comedy|Drama
tt1610452,Band Baaja Baaraat,2010,139,Comedy|Drama|Romance
tt1612573,Rokkk,2010,180,Drama|Horror|Mystery
tt1612611,Phoonk 2,2010,110,Drama|Horror|Mystery
tt1618430,Dum Maaro Dum,2011,128,Action|Crime|Drama
tt1620620,The Japanese Wife,2010,105,Drama|Romance
tt1620719,Fearless,2010,126,Action|Comedy
tt1620907,Na Ghar Ke Na Ghaat Ke,2010,\N,Comedy|Drama
tt1620933,Paan Singh Tomar,2012,135,Action|Biography|Crime
tt1620971,Sukhmani,2010,\N,Drama
tt1627924,Mausam,2011,161,Drama|Romance|War
tt1629241,Bumm Bumm Bole,2010,124,Drama|Family|Thriller
tt1629260,Ek Second... Jo Zindagi Badal De...,2010,\N,Drama|Romance|Thriller
tt1629295,I Am,2010,95,Drama
tt1629376,Seven Sins Forgiven,2011,137,Drama|Mystery|Thriller
tt1629391,Tere Bin Laden,2010,95,Comedy|Drama
tt1629424,Trump Card,2010,\N,Action|Drama|Mystery
tt1629715,Miss Lovely,2012,113,Crime|Drama|Romance
tt1630282,Sahi Dhandhe Galat Bande,2011,119,Action|Comedy|Drama
tt1630613,Soch Lo,2010,\N,Action|Crime|Drama
tt1639426,Udaan,2010,134,Drama
